date,facility_id,facility_name,lga,state,latitude,longitude,antigen_type,current_stock_level,fridge_temperature_celsius,grid_status_operational,is_stockout
2026-08-02,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,BCG,100,5.89,1,0
2026-08-02,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Penta,95,5.89,1,0
2026-08-02,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Measles,99,5.89,1,0
2026-08-07,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,BCG,81,16.11,1,0
2026-08-07,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Penta,72,16.11,1,0
2026-08-07,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Measles,77,16.11,1,0
2026-08-10,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,BCG,59,18.88,1,0
2026-08-10,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Penta,53,18.88,1,0
2026-08-10,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Measles,60,18.88,1,0
2026-08-14,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,BCG,34,21.16,1,0
2026-08-14,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Penta,42,21.16,1,0
2026-08-14,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Measles,0,21.16,1,1
2026-08-17,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,BCG,13,21.71,1,0
2026-08-17,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Penta,27,21.71,1,0
2026-08-17,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Measles,0,21.71,1,1
2026-08-18,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,BCG,0,18.85,1,1
2026-08-18,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Penta,164,18.85,1,0
2026-08-18,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Measles,0,18.85,1,1
2026-08-20,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,BCG,160,18.69,1,1
2026-08-20,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Penta,147,18.69,1,0
2026-08-20,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,Measles,0,18.69,1,1
2026-08-26,67216702.0,Gasanya Health Post,Auyo,Jigawa,12.2704195,9.9262541,BCG,141,21.33,1,0
